customer_id,customer_code,customer_name,customer_type,business_reg_no,tax_id,contact_person,phone,email,line_id,website,billing_address,shipping_address,province,district,subdistrict,postal_code,latitude,longitude,delivery_instructions,preferred_delivery_time,channel_source,customer_segment,hub,status,created_by,remarks
B2311021,B2311021,Catper Petshop (แคทเปอร์ เพ็ทช้อป),PET SHOP,,,อรุณวดี กุลจรัสเดโช,,,,,165/1 ม.5 ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี,165/1 ม.5 ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี,ชลบุรี,,,,12.6682601,100.9365089,,10.00-17.00,,,"HUB บางละมุง	",active,admin,
B2306030,B2306030,Caturday Family,PET SHOP,,,บริษัท,,,,,11 ซ.โชคชัย 4 ซ. 34 ถ.โชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว จ.กรุงเทพฯ 10230,11 ซ.โชคชัย 4 ซ. 34 ถ.โชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว จ.กรุงเทพฯ 10230,กรุงเทพฯ,,,,13.8103119,100.5967814,,11.00-17.00,,,,active,admin,"สั่งซื้อ 10,000 บาท ขึ้นไป ต่อการสั่งซื้อ"
B0000017,B0000017,Central,PET SHOP,,,บุณยานุช นรมาตย์,,,,,-,-,กรุงเทพฯ,,,,,,,,,,,active,admin,
B2304012,B2304012,Chadummm Petshop,PET SHOP,,,บริษัท,,,,,12/1 หมู่ 8 ต.บางน้ำเปรี้ยว อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 21450,12/1 หมู่ 8 ต.บางน้ำเปรี้ยว อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา 21450,ฉะเชิงเทรา,,,,13.8488372,100.9433643,,,,,DC บางพลี,active,admin,"สั่งซื้อครบ 30,000 บาทได้ส่วนลด 2%"
B2508010,B2508010,Chocadoof สาขา Yes บางพลี,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,98/3-4 ม.1 ถ.เทพารักษ์ ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ,98/3-4 ม.1 ถ.เทพารักษ์ ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ,สมุทรปราการ,,,,,,,,,,,active,admin,
B2205211,B2205211,Chocadoof สาขา กรุงเทพกรีฑา,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,87/2 ซ.กรุงเทพกรีฑา 15 ถ.กรุงเทพกรีฑา แขวงหัวหมาก เขตบางกะปิ จ.กรุงเทพฯ,87/2 ซ.กรุงเทพกรีฑา 15 ถ.กรุงเทพกรีฑา แขวงหัวหมาก เขตบางกะปิ จ.กรุงเทพฯ,กรุงเทพฯ,,,,13.7461561,100.6688733,,10.00-17.00,,,,active,admin,
B2205212,B2205212,Chocadoof สาขา กิ่งแก้ว,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,25/43 ม.13 ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ,25/43 ม.13 ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ,สมุทรปราการ,,,,13.6975027,100.7130193,,10.00-17.00,,,,active,admin,
B2312006,B2312006,Chocadoof สาขา คลองหลวง-คลองสาม,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,9 ม.3 ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี,9 ม.3 ต.คลองสาม อ.คลองหลวง จ.ปทุมธานี,ปทุมธานี,,,,14.0457426,100.6590045,,10.00-17.00,,,DC บางพลี,active,admin,
B2205210,B2205210,Chocadoof สาขา งามวงศ์วาน,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,418/2 ตลาดงามวงศ์วาน ถ.สามัคคี ต.ท่าทราย อ.เมือง จ.นนทบุรี,418/2 ตลาดงามวงศ์วาน ถ.สามัคคี ต.ท่าทราย อ.เมือง จ.นนทบุรี,นนทบุรี,,,,13.8812526,100.5377203,,10.00-17.00,,,DC บางพลี,active,admin,
B2307014,B2307014,Chocadoof สาขา ตลาดกิเลน,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,166/8 หมู่ 6 ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130,166/8 หมู่ 6 ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี 11130,นนทบุรี,,,,13.8289583,100.3997542,,10.00-17.00,,,,active,admin,
B2301034,B2301034,Chocadoof สาขา ตลาดรังสิต,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,93 ถ.รังสิต-ปทุมธานี ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี,93 ถ.รังสิต-ปทุมธานี ต.ประชาธิปัตย์ อ.ธัญบุรี จ.ปทุมธานี,ปทุมธานี,,,,13.9873759,100.611811,,10.00-17.00,,,DC บางพลี,active,admin,
B2505054,B2505054,Chocadoof สาขา ตลาดลุงออม,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,168 ซ.วัดส้มเกลี้ยง ม.1 ถ.บรมราชชนนี ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี,168 ซ.วัดส้มเกลี้ยง ม.1 ถ.บรมราชชนนี ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี,นนทบุรี,,,,13.875593,100.5360971,,,,,,active,admin,
B2409005,B2409005,Chocadoof สาขา ทุ่งครุ,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,เลขที่ 356 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ จ.กรุงเทพฯ 10140,เลขที่ 356 ถ.ประชาอุทิศ แขวงทุ่งครุ เขตทุ่งครุ จ.กรุงเทพฯ 10140,กรุงเทพฯ,,,,13.6271361,100.5045409,,10.00-17.00,,,,active,admin,
B2205214,B2205214,Chocadoof สาขา บางคูวัด,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,99/21 ม.1 ต.บางคูวัด อ.เมืองปทุมธานี จ.ปทุมธานี 12000,99/21 ม.1 ต.บางคูวัด อ.เมืองปทุมธานี จ.ปทุมธานี 12000,ปทุมธานี,,,,13.9579361,100.520125,,10.00-17.00,,,DC บางพลี,active,admin,
B2205222,B2205222,Chocadoof สาขา บางบัวทอง,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,78/12 ม.3 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี,78/12 ม.3 ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี,นนทบุรี,,,,13.888248,100.4024636,,10.00-17.00,,,DC บางพลี,active,admin,
B2205219,B2205219,Chocadoof สาขา บางบัวทอง-สุพรรณบุรี,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,78/2 ปั๊ม PT แยกบางพลู สาขาบางบัวทอง ถ.บางกรวย-ทรายทอง ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110,78/2 ปั๊ม PT แยกบางพลู สาขาบางบัวทอง ถ.บางกรวย-ทรายทอง ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110,นนทบุรี,,,,13.9124233,100.4248629,,10.00-17.00,,,DC บางพลี,active,admin,
B2205218,B2205218,Chocadoof สาขา บางพลี,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,98/3-4 ม.1 ปั๊มบางจากตรงข้าม Yes บางพลี ถ.เทพารักษ์ ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10570,98/3-4 ม.1 ปั๊มบางจากตรงข้าม Yes บางพลี ถ.เทพารักษ์ ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10570,สมุทรปราการ,,,,13.5852389,100.7939638,,10.00-17.00,,,,active,admin,
B2508003,B2508003,Chocadoof สาขา บางยี่โถ,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,148 (ห้อง 2-4) ซ.รังสิต-นครนายก ม.1 ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130,148 (ห้อง 2-4) ซ.รังสิต-นครนายก ม.1 ต.บึงยี่โถ อ.ธัญบุรี จ.ปทุมธานี 12130,ปทุมธานี,,,,,,,,,,,active,admin,
B2205213,B2205213,Chocadoof สาขา ปทุมชวนชื่น,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,97 ม.5 ต.บางเดื่อ อ.เมืองปทุมธานี จ.ปทุมธานี,97 ม.5 ต.บางเดื่อ อ.เมืองปทุมธานี จ.ปทุมธานี,ปทุมธานี,,,,13.986077,100.5146164,,10.00-17.00,,,DC บางพลี,active,admin,
B2411031,B2411031,Chocadoof สาขา ประชาอุทิศ55,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,349 ปั้มบางจากปากซอยประชาอุทิศ 55 แขวงบางมด เขตทุ่งครุ จ.กรุงเทพฯ 10140,349 ปั้มบางจากปากซอยประชาอุทิศ 55 แขวงบางมด เขตทุ่งครุ จ.กรุงเทพฯ 10140,กรุงเทพฯ,,,,13.6462748,100.4977881,,,,,,active,admin,
B2205217,B2205217,Chocadoof สาขา ปากน้ำ,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,125 ถ.สุขุมวิท ต.ปากน้ำ อ.เมือง จ.สมุทรปราการ 10270,125 ถ.สุขุมวิท ต.ปากน้ำ อ.เมือง จ.สมุทรปราการ 10270,สมุทรปราการ,,,,13.6069896,100.5957287,,10.00-17.00,,,,active,admin,
B2412002,B2412002,Chocadoof สาขา พัฒนาการ,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,2990 ถ.พัฒนาการ แขวงสวนหลวง เขตสวนหลวง จ.กรุงเทพฯ 10250,2990 ถ.พัฒนาการ แขวงสวนหลวง เขตสวนหลวง จ.กรุงเทพฯ 10250,นนทบุรี,,,,13.7316449,100.6496048,,,,,,active,admin,
B2301018,B2301018,Chocadoof สาขา มหาดไทย,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,223 ซ.ลาดพร้าว122 แขวงพลับพลา เขตวังทองหลาง จ.กรุงเทพฯ,223 ซ.ลาดพร้าว122 แขวงพลับพลา เขตวังทองหลาง จ.กรุงเทพฯ,กรุงเทพฯ,,,,13.7729007,100.6220948,,10.00-17.00,,,,active,admin,
B2304001,B2304001,Chocadoof สาขา รังสิต,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,54 ต.คลองหนึ่ง อ.เมืองปทุมธานี จ.ปทุมธานี 12020,54 ต.คลองหนึ่ง อ.เมืองปทุมธานี จ.ปทุมธานี 12020,ปทุมธานี,,,,14.0636691,100.6173324,,10.00-17.00,,,DC บางพลี,active,admin,
B2205215,B2205215,Chocadoof สาขา รามอินทรา,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,581 ถ.รามอินทรา แขวงรามอินทรา เขตคันนายาว จ.กรุงเทพฯ,581 ถ.รามอินทรา แขวงรามอินทรา เขตคันนายาว จ.กรุงเทพฯ,กรุงเทพฯ,,,,13.8463982,100.6483048,,10.00-17.00,,,,active,admin,
B2308010,B2308010,Chocadoof สาขา รามอินทรา-ลาดปลาเค้า,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,6/39 ซ.รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน จ.กรุงเทพฯ 10220,6/39 ซ.รามอินทรา แขวงอนุสาวรีย์ เขตบางเขน จ.กรุงเทพฯ 10220,กรุงเทพฯ,,,,13.8725867,100.6032359,,10.00-17.00,,,,active,admin,
B2310011,B2310011,Chocadoof สาขา วังทองหลาง,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,585 ซ.รามคำแหง39 (ซอยเทพลีลา1) แขวงวังทองหลาง เขตวังทองหลาง จ.กรุงเทพฯ,585 ซ.รามคำแหง39 (ซอยเทพลีลา1) แขวงวังทองหลาง เขตวังทองหลาง จ.กรุงเทพฯ,กรุงเทพฯ,,,,13.7585334,100.614398,,10.00-17.00,,,,active,admin,
B2506011,B2506011,Chocadoof สาขา วัดลาดปลาเค้า,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,462 ถ.ลาดปลาเค้า แขวงจรเข้บัว เขตลาดพร้าว จ.กรุงเทพฯ 10230,462 ถ.ลาดปลาเค้า แขวงจรเข้บัว เขตลาดพร้าว จ.กรุงเทพฯ 10230,กรุงเทพฯ,,,,,,,,,,,active,admin,
